timestamp,"market_cap-weighted (max_weight=0.05, min_volume=1000000)","market_cap-weighted (max_weight=0.05, min_volume=10000000)","market_cap-weighted (max_weight=0.1, min_volume=1000000)","market_cap-weighted (max_weight=0.1, min_volume=10000000)","market_cap-weighted (max_weight=0.2, min_volume=1000000)","market_cap-weighted (max_weight=0.2, min_volume=10000000)"
1377432000000,100.0,100.0,100.0,100.0,100.0,100.0
1377518400000,100.0,100.0,100.0,100.0,100.0,100.0
1377604800000,100.0,100.0,100.0,100.0,100.0,100.0
1377691200000,100.0,100.0,100.0,100.0,100.0,100.0
1377777600000,100.0,100.0,100.0,100.0,100.0,100.0
1377864000000,100.0,100.0,100.0,100.0,100.0,100.0
1377950400000,100.0,100.0,100.0,100.0,100.0,100.0
1378036800000,100.0,100.0,100.0,100.0,100.0,100.0
1378123200000,100.0,100.0,100.0,100.0,100.0,100.0
1378209600000,100.0,100.0,100.0,100.0,100.0,100.0
1378296000000,100.0,100.0,100.0,100.0,100.0,100.0
1378382400000,100.0,100.0,100.0,100.0,100.0,100.0
1378468800000,100.0,100.0,100.0,100.0,100.0,100.0
1378555200000,100.0,100.0,100.0,100.0,100.0,100.0
1378641600000,100.0,100.0,100.0,100.0,100.0,100.0
1378728000000,100.0,100.0,100.0,100.0,100.0,100.0
1378814400000,100.0,100.0,100.0,100.0,100.0,100.0
1378900800000,100.0,100.0,100.0,100.0,100.0,100.0
1378987200000,100.0,100.0,100.0,100.0,100.0,100.0
1379073600000,100.0,100.0,100.0,100.0,100.0,100.0
1379160000000,100.0,100.0,100.0,100.0,100.0,100.0
1379246400000,100.0,100.0,100.0,100.0,100.0,100.0
1379332800000,100.0,100.0,100.0,100.0,100.0,100.0
1379419200000,100.0,100.0,100.0,100.0,100.0,100.0
1379505600000,100.0,100.0,100.0,100.0,100.0,100.0
1379592000000,100.0,100.0,100.0,100.0,100.0,100.0
1379678400000,100.0,100.0,100.0,100.0,100.0,100.0
1379764800000,100.0,100.0,100.0,100.0,100.0,100.0
1379851200000,100.0,100.0,100.0,100.0,100.0,100.0
1379937600000,100.0,100.0,100.0,100.0,100.0,100.0
1380024000000,100.0,100.0,100.0,100.0,100.0,100.0
1380110400000,100.0,100.0,100.0,100.0,100.0,100.0
1380196800000,100.0,100.0,100.0,100.0,100.0,100.0
1380283200000,100.0,100.0,100.0,100.0,100.0,100.0
1380369600000,100.0,100.0,100.0,100.0,100.0,100.0
1380456000000,100.0,100.0,100.0,100.0,100.0,100.0
1380542400000,100.0,100.0,100.0,100.0,100.0,100.0
1380628800000,100.0,100.0,100.0,100.0,100.0,100.0
1380715200000,100.0,100.0,100.0,100.0,100.0,100.0
1380801600000,100.0,100.0,100.0,100.0,100.0,100.0
1380888000000,100.0,100.0,100.0,100.0,100.0,100.0
1380974400000,100.0,100.0,100.0,100.0,100.0,100.0
1381060800000,100.0,100.0,100.0,100.0,100.0,100.0
1381147200000,100.0,100.0,100.0,100.0,100.0,100.0
1381233600000,100.0,100.0,100.0,100.0,100.0,100.0
1381320000000,100.0,100.0,100.0,100.0,100.0,100.0
1381406400000,100.0,100.0,100.0,100.0,100.0,100.0
1381492800000,100.0,100.0,100.0,100.0,100.0,100.0
1381579200000,100.0,100.0,100.0,100.0,100.0,100.0
1381665600000,100.0,100.0,100.0,100.0,100.0,100.0
1381752000000,100.0,100.0,100.0,100.0,100.0,100.0
1381838400000,100.0,100.0,100.0,100.0,100.0,100.0
1381924800000,100.0,100.0,100.0,100.0,100.0,100.0
1382011200000,100.0,100.0,100.0,100.0,100.0,100.0
1382097600000,100.0,100.0,100.0,100.0,100.0,100.0
1382184000000,100.0,100.0,100.0,100.0,100.0,100.0
1382270400000,100.0,100.0,100.0,100.0,100.0,100.0
1382356800000,100.0,100.0,100.0,100.0,100.0,100.0
1382443200000,100.0,100.0,100.0,100.0,100.0,100.0
1382529600000,100.0,100.0,100.0,100.0,100.0,100.0
1382616000000,100.0,100.0,100.0,100.0,100.0,100.0
1382702400000,100.0,100.0,100.0,100.0,100.0,100.0
1382788800000,100.0,100.0,100.0,100.0,100.0,100.0
1382875200000,100.0,100.0,100.0,100.0,100.0,100.0
1382961600000,100.0,100.0,100.0,100.0,100.0,100.0
1383048000000,100.0,100.0,100.0,100.0,100.0,100.0
1383134400000,100.0,100.0,100.0,100.0,100.0,100.0
1383220800000,100.0,100.0,100.0,100.0,100.0,100.0
