timestamp,bitcoin,"market_cap-weighted (max_weight=0.1, min_volume=1000000)","market_cap-weighted (max_weight=0.1, min_volume=10000000)","volume-weighted (max_weight=0.1, min_volume=1000000)","volume-weighted (max_weight=0.1, min_volume=10000000)"
1480766400000,537.299287463,95382.1958685,46.5145384922,43303.9413161,46.1289602103
1480852800000,538.681392178,95344.58094,46.7535316249,43286.8639712,46.3659722299
1480939200000,527.12040638,90838.6216216,44.7277258992,41241.1383919,44.3569592473
1481025600000,534.840679739,85411.7740717,41.5752101649,38752.3941362,41.2305760221
1481112000000,535.321895819,92834.0315805,45.5680920206,42119.9655453,45.1903592257
1481198400000,540.702882242,98945.090608,49.1495866016,44892.6297429,48.7421653142
1481284800000,540.313162923,99699.1847327,48.3460539341,45234.771714,47.9452934619
1481371200000,542.208124316,99029.4283578,48.6845747572,44930.8948387,48.2810081457
1481457600000,537.712024184,100517.57646,47.8738037459,45606.0863144,47.4769579512
1481544000000,546.131881187,101123.620913,49.3614670112,45881.0562912,48.9522893593
1481630400000,546.648979114,101319.161387,49.4548973231,45969.7754588,49.0449451886
1481716800000,546.669058035,103788.687246,49.4585303044,47090.2303429,49.0485480547
1481803200000,545.274438218,100794.686214,48.0907724773,45731.8144889,47.6921281389
1481889600000,547.516547495,104541.289498,48.4854496656,47431.6954326,48.0835336845
1481976000000,552.902370242,103119.081987,49.4346740698,46786.4220309,49.0248895743
1482062400000,553.33388434,106934.272065,49.5118068153,48517.4216645,49.1013829345
1482148800000,554.673098585,108896.590526,49.7511805749,49407.7501844,49.3387724258
1482235200000,554.583652543,111210.890765,49.7351336274,50457.7772564,49.3228584981
1482321600000,565.590848331,115917.877652,51.6900503792,52593.3962975,51.261570135
1482408000000,604.479997676,114829.214315,54.8376368113,51971.2578499,54.383064919
1482494400000,636.79180927,119178.981272,56.2792489109,54082.9161112,55.8127268986
1482580800000,630.245281334,121305.778056,60.2148085462,55048.0474694,59.7156630495
1482667200000,609.210432123,130678.387535,56.2398240437,59301.2978901,55.7736288405
1482753600000,627.903769771,126388.416485,59.6393163236,57354.5272266,59.1449413204
1482840000000,645.322065894,128902.353891,62.9030895108,58495.3413568,62.3816597393
1482926400000,669.363820431,134417.671332,68.2589553378,60965.8559236,67.6931285755
1483012800000,681.816635647,138920.345811,71.4136470496,62539.5707222,70.8216697406
1483099200000,659.987645046,140054.282272,71.9218529482,63050.0495803,71.3256629099
1483185600000,664.726684814,140407.780831,71.6299031619,63209.1886032,71.0361332164
1483272000000,681.539337031,144249.732704,74.4287337696,64938.7698209,73.8117631575
1483358400000,718.398431535,146454.936238,77.7022608431,65931.5148476,77.0581546088
1483444800000,719.365046021,153674.229477,82.0364246843,69181.5175554,81.3563907701
1483531200000,760.358533317,169871.077275,92.0166620207,76473.0622345,91.2538977842
1483617600000,776.92363811,172157.254502,93.8584937005,77502.2602371,93.080461758
1483704000000,623.71650786,144725.630592,77.1886223013,65153.010935,76.5487738296
1483790400000,615.883023981,140199.533305,76.135801183,63115.4391182,75.5046799818
1483876800000,641.985190147,151534.21678,78.843478056,68218.1203323,78.1899117994
1483963200000,632.690270412,151194.262833,79.7322287225,68065.0788623,79.0712952434
1484049600000,634.235887384,153787.26678,82.2784481756,69232.4050217,81.5964080284
1484136000000,582.698979066,143484.85848,74.2523117363,64594.4364886,73.6368035595
1484222400000,534.06134559,129167.723201,66.5312795291,58149.1063312,65.9797741873
1484308800000,560.592518107,135166.272213,71.2788341325,60849.5508054,70.6879743436
1484395200000,581.487772225,137100.433068,73.6214673382,61720.2770393,73.011188492
1484481600000,573.33708732,147953.888678,73.4768200899,66606.3176749,72.8677402847
1484568000000,576.229428119,147706.330487,72.945159882,66494.8711986,72.3404872285
1484654400000,617.206365623,154341.205146,78.5429704208,69481.7786279,77.8918951965
1484740800000,630.453333187,159702.312452,82.0145227414,71895.2577161,81.3346703815
1484827200000,622.016057029,156780.52172,79.8045217611,70579.9173525,79.1429890149
1484913600000,622.467850251,168465.080901,81.1954484203,75840.1066429,80.5223857068
1485000000000,645.481314553,174280.462187,87.090933301,78458.0921305,86.3690004707
1485086400000,650.461570973,173764.217331,88.4555705589,78225.6874995,87.722325685
1485172800000,646.190319344,172265.717265,86.0475661979,77551.0883232,85.3342822698
1485259200000,635.736848007,169180.017695,83.2408054764,76161.9589962,82.5507879509
1485345600000,628.595077247,166394.572078,81.3599921817,74907.9988787,80.6855654968
1485432000000,633.842308523,168059.257663,82.712668073,75657.4119417,82.0270284972
1485518400000,643.8218139,191129.041002,113.017350899,86043.0349996,112.080503251
1485604800000,644.973347599,173287.903625,68.41443702,78011.2591914,67.8473214055
1485691200000,645.394528907,179299.765449,68.5037600221,80717.6968664,67.9359039723
1485777600000,644.196853468,190519.677327,68.2492753983,85768.7098644,67.683528877
1485864000000,656.34441974,198107.929238,71.0771674429,89184.8114749,70.4879793527
1485950400000,682.075394425,202529.893607,74.5565775187,91175.5044276,73.9385471568
1486036800000,695.409352753,170187.528604,75.3962241076,76615.5232269,74.7712335673
1486123200000,712.686500817,174717.526535,77.7963950901,78654.8510467,77.151508538
1486209600000,715.842709803,175999.316684,80.0484277387,79231.8911139,79.3848731548
1486296000000,724.652249083,175904.934998,82.006639549,79189.4020882,81.3268525361
1486382400000,726.945555034,175295.200458,82.5248725482,78914.9099959,81.8407896873
1486468800000,740.14674364,178612.644586,85.4952536547,80408.366771,84.786548074
1486555200000,734.089436771,179267.156203,84.0901222154,80703.01674,83.3930643515
1486641600000,752.051194359,184338.406591,88.1556323297,82986.0071861,87.424873768
1486728000000,679.686768129,174349.418605,78.8283083397,78489.1351337,78.1748678311
1486814400000,700.13902806,180334.967481,82.3574146417,81183.7271681,81.6747199087
1486900800000,700.267549037,180182.123817,82.3876477343,81114.9195571,81.7047023867
1486987200000,693.014653217,180031.99464,80.672117535,81047.3339617,80.003392928
1487073600000,701.330094735,186191.281829,84.8452006138,83820.140022,84.1418835921
1487160000000,701.49144849,188332.289378,87.1172366827,84783.9851105,86.3950858128
1487246400000,711.75359434,201461.383794,88.0557734209,90694.4795308,87.3258426311
1487332800000,723.593819452,203301.705999,89.6873550708,91522.9612047,88.9438994246
1487419200000,738.887241899,204537.14573,91.2977154335,92079.1351044,90.5409108431
1487505600000,736.535443798,200735.690413,90.7156070582,90367.7847454,89.9636278053
1487592000000,737.415199534,202301.612317,90.9321884897,91072.7360836,90.1784139036
1487678400000,771.107974207,196776.62389,94.7082345088,88585.4805095,93.9231587127
1487764800000,774.337322633,196816.920964,95.2520717242,87753.4613481,94.4624878361
1487851200000,793.833419321,199693.781832,97.6661109678,89036.1483129,96.8565161082
1487937600000,809.207667803,201399.791083,100.750914001,89635.9891594,99.9157479311
1488024000000,818.897745902,202762.269938,102.172894751,90242.3807513,101.325941293
1488110400000,811.577712869,204428.529418,102.12601845,90983.9744531,101.279453569
1488196800000,819.279595836,201393.343227,106.406092191,89633.1194446,105.524048006
1488283200000,822.333206517,206771.789692,110.881397307,92026.8774842,109.962255463
1488369600000,831.775537941,212490.239056,121.310088844,94571.9588989,120.304499255
1488456000000,857.091111691,230750.707307,137.150620957,102078.296296,136.013722634
1488542400000,893.195482398,236681.771334,143.02883916,104610.119719,141.843213851
1488628800000,889.823376895,241618.60162,142.238078739,109815.162,141.059008371
1488715200000,872.68819865,232100.221963,130.610049438,103062.617756,129.527368623
1488801600000,891.076036578,244067.096188,138.570691758,108376.431649,137.42202188
1488888000000,850.522803863,235672.677372,132.586402174,104648.943711,131.487338552
1488974400000,844.593314489,232443.899921,130.746452416,103215.225753,129.6626409
1489060800000,815.056042457,228165.949505,128.277605902,101315.629256,127.214259677
1489147200000,834.834276492,230725.273863,136.143716724,102452.080854,135.015165048
1489233600000,825.955305461,234709.165434,142.955572514,104085.592777,141.770554543
1489320000000,825.039427565,251703.115933,158.82066933,111621.836229,157.504138999
1489406400000,859.380450427,277264.765919,173.350758141,124364.444294,171.913781883
1489492800000,861.92517407,287518.337035,179.452472914,131768.248565,177.964917013
1489579200000,872.839795518,296436.503319,189.625195155,136244.209161,188.053313345
1489665600000,859.758667154,327123.549123,209.905128239,150971.443402,208.165137661
