timestamp,"market_cap-weighted (max_weight=0.1, min_volume=10000)","market_cap-weighted (max_weight=0.1, min_volume=100000)","market_cap-weighted (max_weight=0.1, min_volume=1000000)","market_cap-weighted (max_weight=0.2, min_volume=10000)","market_cap-weighted (max_weight=0.2, min_volume=100000)","market_cap-weighted (max_weight=0.2, min_volume=1000000)","market_cap-weighted (max_weight=0.3, min_volume=10000)","market_cap-weighted (max_weight=0.3, min_volume=100000)","market_cap-weighted (max_weight=0.3, min_volume=1000000)"
1451044800000,40.2387060363,545.265532931,683.360913266,40.601614854,80.1458516599,479.039168137,34.9719645656,50.4185084169,202.005400119
1451131200000,38.8060126956,534.968234856,622.262954146,38.9498903789,77.3302850206,436.209215555,33.2405061146,48.024059256,183.944493445
1451217600000,38.7937874453,529.743198196,622.805145959,38.8363614883,77.1784177576,436.589294529,33.1444183971,47.8597256264,184.104768451
1451304000000,39.3821965132,535.727524942,627.927788889,39.3693906386,78.0502758034,440.180290971,33.6505523669,48.5390340126,185.619051042
1451390400000,38.6744936883,533.266912929,623.436028714,38.8076602205,77.8599666481,437.031546265,33.2200658789,48.1312693075,184.291261007
1451476800000,39.9063104708,557.777785841,637.823408661,39.8231146406,80.8064959669,447.117166305,33.9098218141,49.1645432154,188.544252927
1451563200000,39.5300540977,555.266005616,624.843741818,39.6971071991,80.6714895962,438.018359677,33.5053994567,48.6434177859,184.707389064
1451649600000,40.4249684273,577.068039038,640.102105164,40.0707008787,81.9142486102,448.714543118,33.8138125721,48.9793362258,189.217848666
1451736000000,41.0334504464,606.777794108,683.073747644,40.4654804001,83.6171855817,478.837863705,34.0631766817,49.4525546243,201.920512316
1451822400000,40.5656114035,596.1428767,677.09457676,40.3471772974,83.2272938429,474.646437197,33.9116567628,49.3233750508,200.153035155
1451908800000,40.43118382,585.151849759,679.518773496,40.1842412975,81.6928405019,476.345810347,33.8808281481,49.2167156476,200.869641595
1451995200000,40.9285251052,581.146198973,675.70571855,40.1580565665,81.133613028,473.672841153,33.7441235275,48.8284305887,199.742480713
1452081600000,40.3064521355,584.543980881,674.98474987,39.9426608043,81.6079761452,473.167438766,33.6886025094,48.896739035,199.529358242
