timestamp,"30 day balanced: market_cap-weighted (max_weight=0.2, min_volume=10000)","30 day balanced: market_cap-weighted (max_weight=0.2, min_volume=100000)","30 day balanced: market_cap-weighted (max_weight=0.2, min_volume=1000000)","30 day balanced: market_cap-weighted (max_weight=0.2, min_volume=10000000)","30 day balanced: market_cap-weighted (max_weight=1, min_volume=0)","30 day balanced: volume-weighted (max_weight=0.2, min_volume=10000)","30 day balanced: volume-weighted (max_weight=0.2, min_volume=100000)","30 day balanced: volume-weighted (max_weight=0.2, min_volume=1000000)","30 day balanced: volume-weighted (max_weight=0.2, min_volume=10000000)","30 day balanced: volume-weighted (max_weight=1, min_volume=0)","Daily balanced: market_cap-weighted (max_weight=0.2, min_volume=10000)","Daily balanced: market_cap-weighted (max_weight=0.2, min_volume=100000)","Daily balanced: market_cap-weighted (max_weight=0.2, min_volume=1000000)","Daily balanced: market_cap-weighted (max_weight=0.2, min_volume=10000000)","Daily balanced: market_cap-weighted (max_weight=1, min_volume=0)","Daily balanced: volume-weighted (max_weight=0.2, min_volume=10000)","Daily balanced: volume-weighted (max_weight=0.2, min_volume=100000)","Daily balanced: volume-weighted (max_weight=0.2, min_volume=1000000)","Daily balanced: volume-weighted (max_weight=0.2, min_volume=10000000)","Daily balanced: volume-weighted (max_weight=1, min_volume=0)",Bitcoin
1481457600000,1596695.64029,4207.8484817,92.5269076805,14.9642197854,3552.09153423,24881661.1977,39769.7608443,521.602890012,14.9642197854,70951.8297952,20345.5707326,77968.9701852,10079765.1533,465.41835978,3267.80470005,62289696285.2,15236487100.9,48171797.5526,461.54414664,105730.732699,537.712024184
1481544000000,1611790.04442,4249.85211886,93.4472893942,15.0552560674,3658.97977041,25187767.6454,40201.5823849,527.351953639,15.0552560674,73060.3953767,20600.4921941,78862.9816534,10171590.1802,479.994028018,3362.1664357,63252218376.5,15441896518.7,48583464.6488,475.998484801,108607.440338,546.131881187
1481630400000,1622407.54668,4277.3192522,93.5628986404,15.1145506407,3665.85852391,27069321.0725,43288.2719808,528.151667241,15.1145506407,73480.6429634,20748.6456359,79126.2387551,10194090.2765,480.902980325,3373.66400705,64514488909.3,15740414250.5,48639351.2288,476.899870851,109279.954477,546.648979114
1481716800000,1637028.05831,4324.19596675,93.469060615,15.0749557414,3667.02925062,30083228.9225,48281.4079584,528.844878214,15.0749557414,74119.0834432,20904.0257871,79637.6250594,10287910.3757,480.938308345,3376.61884813,66955154035.3,16337898711.0,49963091.5865,476.934904795,110588.118832,546.669058035
1481803200000,1627764.64715,4307.54320672,93.0586346187,15.2570264151,3648.80342634,28925407.076,46348.0404626,528.732591539,15.2570264151,73572.8540418,20982.7767541,79524.5184398,10229487.4463,467.937695353,3719.08804218,66493031390.4,16218390145.2,49398295.6394,464.042510881,110397.637026,545.274438218
1481889600000,1650505.23168,4354.58010401,94.4151564994,15.3524130477,3679.64658141,28799067.0509,46144.5999411,536.334387292,15.3524130477,74173.2716804,21109.2297877,80224.2325198,10335117.4261,471.78591333,3747.88878081,67704790966.2,16520351819.7,50846109.9239,467.858695707,111537.383455,547.516547495
1481976000000,1640369.59713,4333.17340564,94.0774444915,15.3779405311,3746.71730029,28402472.878,45313.9342949,534.593906874,15.3779405311,75412.8953233,20911.5186525,79193.0866089,10202206.7181,481.067661309,3803.30033395,66929301371.2,16277023584.3,50161027.9107,477.063181006,112814.549426,552.902370242
1482062400000,1650268.51639,4364.36593,94.7844957867,15.5226249889,3753.27606493,28413127.0923,45414.4380829,538.25613619,15.5226249889,75607.3901692,21241.0137538,80454.2926206,10431982.9335,481.818562333,3817.23050298,68150439941.3,16568198722.1,51654406.0523,477.807831415,113652.860035,553.33388434
1482148800000,1667175.76919,4419.70367261,95.9718573231,15.7694065919,3771.4080273,28776059.8786,45985.9488739,543.908545537,15.7694065919,76078.6723551,21381.2881754,81148.1567449,10528758.8684,484.150818862,3835.37137375,69216921566.6,16928685372.1,52712753.6909,480.120673886,114522.94256,554.673098585
1482235200000,1652938.22351,4401.11275422,95.4777169703,15.3370665765,3768.84704455,28378758.8137,45578.4836895,537.89299378,15.3370665765,75982.5651312,21514.3748714,82052.0321837,10585985.506,483.994671485,3837.99229172,70680554553.9,17334611831.6,53756963.7798,479.965826304,115258.098445,554.583652543
1482321600000,1660057.07239,4424.99902824,96.1034394622,15.4628414569,3911.61167619,28534214.0963,45886.3501863,542.03167427,15.4628414569,78821.1956493,21532.7493388,82305.6395318,10620060.1999,503.20700883,3969.30649961,73128758467.0,17976030693.2,55637956.5178,499.018237234,119684.790325,565.590848331
1482408000000,1701633.31547,4531.38602313,98.7470666316,15.8295848836,4428.73928356,29102878.641,46782.534495,554.508532621,15.8295848836,89172.8110512,21948.4832685,83830.6998695,10819956.5312,535.002425538,4445.01887885,73245467321.3,17985759710.0,55619836.3216,530.548984062,132318.176683,604.479997676
1482494400000,1736924.25284,4623.0862746,100.497914117,16.259948823,4884.59147885,29685987.2038,47749.9388677,563.806512348,16.259948823,98302.3473168,26030.8951278,85473.5304955,11093492.8439,550.154789043,4951.16615922,76390892822.5,18710767510.3,58358206.2234,545.575216992,144451.109657,636.79180927
1482580800000,1838058.06003,4877.15618187,106.148320666,16.3222505286,4806.9643269,31725653.8553,50864.7502014,595.943917987,16.3222505286,99098.8764303,26824.619774,88454.7998405,11603718.0703,593.068859361,4883.30214976,80242417758.7,19653461214.2,60868594.3543,588.132064068,145611.674223,630.245281334
1482667200000,1801786.43316,4783.17985066,104.031248881,16.344076816,4496.96489342,31221218.4865,50139.6482508,584.056499205,16.344076816,92854.6735547,26600.3100537,88116.6898814,11506318.856,554.853280378,4604.29012193,93272281309.9,23038971571.3,73110446.951,550.234597371,145256.236974,609.210432123
1482753600000,1824673.93545,4827.41684549,105.093506948,16.3780880205,4761.64445162,31420567.767,50427.9128452,588.744295534,16.3780880205,97981.0235421,27002.9210285,89293.9614568,11621161.9152,588.904108035,4860.8049495,91193525422.6,22460945736.2,70371971.4242,584.001980765,150855.086419,627.903769771
1482840000000,1875777.92563,4898.53524618,106.428345236,16.9358040335,5017.91405902,31928889.7817,51271.7272711,597.36157148,16.9358040335,103010.849369,27486.154877,91061.4519071,11871773.767,621.576968545,5103.55414444,93439211971.7,22988018839.6,72208857.3131,616.40286742,158066.115259,645.322065894
