timestamp,"market_cap-weighted (max_weight=0.2, min_volume=0)","market_cap-weighted (max_weight=0.2, min_volume=10000)","volume-weighted (max_weight=0.1, min_volume=100000)","volume-weighted (max_weight=0.2, min_volume=0)","volume-weighted (max_weight=0.2, min_volume=100000)","volume-weighted (max_weight=0.3, min_volume=100000)","volume-weighted (max_weight=1, min_volume=0)","volume-weighted (max_weight=1, min_volume=100000)"
1378382400000,43.9777072038,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1378468800000,44.2365385626,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1378555200000,44.3280977481,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1378641600000,44.2966747369,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1378728000000,43.1276889771,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1378814400000,44.5360391333,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1378900800000,44.5388241952,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1378987200000,45.6518481157,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1379073600000,46.7891451974,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1379160000000,45.442470686,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1379246400000,45.2771333586,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1379332800000,45.6346406743,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1379419200000,47.8480411259,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1379505600000,48.8411354893,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1379592000000,49.2447706556,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1379678400000,48.6816851848,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1379764800000,47.6719774449,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1379851200000,48.0015489267,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1379937600000,47.7024819247,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1380024000000,47.0964584272,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1380110400000,48.4894824908,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1380196800000,49.464006953,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1380283200000,52.8194457933,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1380369600000,52.8908014748,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1380456000000,54.9313899017,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1380542400000,49.6776597781,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1380628800000,53.1039393272,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1380715200000,51.5973509593,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1380801600000,42.5826874582,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1380888000000,48.4707553385,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1380974400000,51.1470773857,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1381060800000,51.89675643,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1381147200000,51.1494390925,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1381233600000,49.532625125,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1381320000000,49.392942397,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1381406400000,50.9623027388,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1381492800000,50.3917284428,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1381579200000,51.4645911884,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1381665600000,52.4573941608,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1381752000000,53.5699991615,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1381838400000,49.4607383341,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1381924800000,46.7863088379,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1382011200000,47.577777514,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1382097600000,48.7625521309,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1382184000000,50.6824155037,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1382270400000,50.6040106123,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1382356800000,49.6060206072,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1382443200000,49.2511033002,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1382529600000,50.8354484719,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1382616000000,55.1585914285,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1382702400000,54.1024732467,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1382788800000,51.4900143068,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1382875200000,53.1555000494,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1382961600000,54.1720627519,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1383048000000,54.6593976416,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1383134400000,55.6529583134,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1383220800000,55.3601857135,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1383307200000,57.031081988,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1383393600000,59.0859432837,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1383480000000,61.7670382853,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1383566400000,65.7522370225,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1383652800000,66.9832888918,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1383739200000,72.3005406409,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1383825600000,86.5537272467,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1383912000000,95.2935091748,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1383998400000,99.8089758724,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1384084800000,85.2557005277,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1384171200000,89.570806374,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1384257600000,93.8303021224,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1384344000000,101.780640159,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1384430400000,105.654131652,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1384516800000,106.6858754,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1384603200000,110.864683031,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1384689600000,115.55303454,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1384776000000,130.9048073,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1384862400000,145.870887302,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1384948800000,104.896335215,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1385035200000,146.130351043,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1385121600000,198.107669293,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1385208000000,223.95118089,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1385294400000,225.491725551,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1385380800000,274.082818662,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1385467200000,369.039604113,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1385553600000,453.878281147,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1385640000000,638.059323841,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1385726400000,686.986844552,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1385812800000,801.338619295,100.0,100.0,100.0,100.0,100.0,100.0,100.0
