timestamp,"30 day balanced: market_cap-weighted (max_weight=0.2, min_volume=10000)","30 day balanced: market_cap-weighted (max_weight=0.2, min_volume=100000)","30 day balanced: market_cap-weighted (max_weight=0.2, min_volume=1000000)","30 day balanced: market_cap-weighted (max_weight=0.2, min_volume=10000000)","30 day balanced: market_cap-weighted (max_weight=1, min_volume=0)","30 day balanced: volume-weighted (max_weight=0.2, min_volume=10000)","30 day balanced: volume-weighted (max_weight=0.2, min_volume=100000)","30 day balanced: volume-weighted (max_weight=0.2, min_volume=1000000)","30 day balanced: volume-weighted (max_weight=0.2, min_volume=10000000)","30 day balanced: volume-weighted (max_weight=1, min_volume=0)",bitcoin
1415016000000,1383.25672224,187.409602411,14.5636847272,12.9659592153,38.6282544683,53.9800726967,27.2939852727,14.5636847272,12.9659592153,19.4959568029,230.113527304
1415102400000,1365.93288965,183.987275785,14.501005524,12.7749191012,38.0918310954,52.924628617,26.7478806321,14.501005524,12.7749191012,19.2449974953,228.418283867
1415188800000,1438.87972428,191.197476176,14.9366224088,13.6685576983,40.6429169888,55.5485501006,27.8008536353,14.9366224088,13.6685576983,20.2831331717,236.407508422
1415275200000,1445.85027049,194.925189655,15.112254413,14.0473892125,41.6884418832,56.1378302013,28.6015263157,15.112254413,14.0473892125,20.8941587889,239.68358979
1415361600000,1452.33537578,197.320025198,15.0563051957,14.0935051098,41.810770196,56.4963445739,29.4513426692,15.0563051957,14.0935051098,20.900716949,240.077016058
1415448000000,1472.44997925,196.540139177,15.0606746908,14.150944769,42.0108943546,57.1129336737,29.3037878351,15.0606746908,14.150944769,20.9939623874,240.566246446
1415534400000,1491.00436283,200.98790046,15.2861643014,14.6617790253,43.4305108542,58.5219554721,30.2986558079,15.2861643014,14.6617790253,21.617583197,244.908340971
1415620800000,1544.02932233,209.361250466,16.0592316398,16.3069732126,47.9554001149,60.539835683,31.6260658198,16.0592316398,16.3069732126,23.5324111162,258.648889724
1415707200000,1537.08067777,207.108955033,16.0426179171,16.2347913474,47.7539838696,60.1514108569,30.9585865162,16.0426179171,16.2347913474,23.4848140659,258.076442616
1415793600000,1594.99435876,215.325736337,16.7824986026,18.0615361849,52.7385000413,62.2043868046,32.3188490583,16.7824986026,18.0615361849,25.4383857809,272.595871882
1415880000000,1731.92106153,235.09807797,18.7121292395,21.9125335326,63.2723608126,68.0056152275,35.0009348401,18.7121292395,21.9125335326,29.8387186124,301.656688439
1415966400000,1603.77078793,218.584080273,17.3218061845,18.2163370478,53.2918663372,62.7878985742,32.6797010392,17.3218061845,18.2163370478,25.7464592738,276.215029906
1416052800000,1606.32949633,218.047638443,17.3354429317,18.0355331653,52.8168434563,62.5656860058,32.5782100077,17.3354429317,18.0355331653,25.575084474,274.844261742
1416139200000,1595.11777512,216.819912934,17.1716087334,17.6567668017,51.7831323155,61.8557449913,32.548346389,17.1716087334,17.6567668017,25.038797325,271.958243329
1416225600000,1650.50330827,224.887919982,18.1162506207,19.4362074774,56.6661802286,63.807884672,33.7668299393,18.1162506207,19.4362074774,26.9616947816,285.662155425
1416312000000,1523.76591976,209.671560729,16.8631385589,16.4059653917,48.3463358264,58.6420619914,31.4859920837,16.8631385589,16.4059653917,23.3640753593,263.393781138
1416398400000,1544.31228749,212.038897854,17.2079279874,16.7220512406,49.2563150257,58.999539856,31.7923863853,17.2079279874,16.7220512406,23.7324398947,265.931121822
1416484800000,1500.34526834,205.225573872,15.8643733552,14.9878875778,44.62671083,57.4531261713,30.7708199141,15.8643733552,14.9878875778,21.6050000419,252.141901778
1416571200000,1490.78880477,204.772485573,15.3895485463,14.4173585981,43.1518050004,56.9972770995,30.7028854058,15.3895485463,14.4173585981,20.929121369,247.342884532
1416657600000,1602.47538701,222.724453311,15.9909324733,15.219397709,45.6630560346,60.8369430645,33.3945419863,15.9909324733,15.219397709,22.0551053662,254.22273932
1416744000000,1641.68719296,227.333715085,15.5483628171,14.6978320758,44.4826117179,62.4604584706,34.0856389159,15.5483628171,14.6978320758,21.4947335361,249.866658793
1416830400000,1699.09572215,236.860949332,16.3581128057,15.896991574,47.8307699711,64.6689162859,35.5141198005,16.3581128057,15.896991574,23.0124059722,260.059657857
1416916800000,1809.86341967,251.484956769,17.4314294952,17.6740867144,52.9768494956,68.8405190898,37.7067934073,17.4314294952,17.6740867144,25.2835691701,274.595450746
1417003200000,1754.43042325,244.388273076,16.1636957325,15.7276814907,47.645904755,66.5937039317,36.6427409512,16.1636957325,15.7276814907,22.9038232408,259.475178102
1417089600000,1875.27227406,258.211708703,16.3126072513,15.9073576565,48.6229897146,70.9585929603,38.7153795617,16.3126072513,15.9073576565,23.3230062794,260.957326159
1417176000000,1873.76242858,261.290824101,15.7170629016,15.0398663592,46.3289162782,71.2382741512,39.1770515826,15.7170629016,15.0398663592,22.2949662995,253.841807218
1417262400000,2010.26872997,284.595276917,16.9020903882,16.8411773681,51.5711640871,75.6616159758,42.6712414502,16.9020903882,16.8411773681,24.633614303,269.043007513
1417348800000,1935.03386603,269.85039386,16.6248274015,16.3814472881,50.0856913373,72.6443910489,40.4604441667,16.6248274015,16.3814472881,23.9742979368,265.370842537
