"market_cap-weighted (max_weight=0.2, min_volume=0)","market_cap-weighted (max_weight=0.2, min_volume=10000)","market_cap-weighted (max_weight=1, min_volume=0)","market_cap-weighted (max_weight=1, min_volume=10000)",timestamp,"volume-weighted (max_weight=0.2, min_volume=0)","volume-weighted (max_weight=0.2, min_volume=10000)","volume-weighted (max_weight=1, min_volume=0)","volume-weighted (max_weight=1, min_volume=10000)"
774.566217257,151.152630674,23.1996787682,13.7748765974,1476446400000,367310.054948,363893.450724,529.618926113,516.68504664
763.935277112,148.851962067,23.3006562535,13.8353721049,1476532800000,361208.872367,357846.379221,529.916525645,517.049295358
764.322378248,149.01547107,23.368793121,13.8785240394,1476619200000,362427.51889,359022.383393,531.504799184,518.594114734
758.452577799,147.569284873,23.2171149483,13.784021106,1476705600000,365809.792772,362243.14629,531.7674483,518.735197965
772.06176264,150.269222136,23.329274608,13.8506169531,1476792000000,379916.295609,376292.273661,540.949897895,527.67125892
772.549491109,150.409938192,23.0370247581,13.6752252382,1476878400000,383691.096278,380135.416753,537.339815591,524.132758846
767.921145767,149.451495778,22.7677262851,13.5125742002,1476964800000,382754.120233,379225.33684,532.173460729,519.069159343
768.554520705,149.609610063,22.8103433684,13.5382492762,1477051200000,381568.478084,378055.990371,532.425964709,519.326998534
773.583201401,150.569319905,23.1466212205,13.738675653,1477137600000,375051.100024,371168.751429,534.759688759,521.47894204
785.74432932,152.779401641,24.1923009547,14.3617929172,1477224000000,379121.718682,375117.735368,556.964124696,543.189051209
787.287882577,153.069475297,24.1227171653,14.3191201005,1477310400000,374537.586066,370594.119187,553.45707519,539.808292331
778.209971854,151.324317204,24.1813967,14.3559112653,1477396800000,369152.380757,365237.984601,552.744366308,539.129919628
771.488477914,149.713684441,24.6372906354,14.6267154,1477483200000,358290.371308,354380.564166,557.587061419,543.909185336
767.376625146,148.803806031,25.8180853994,15.3337881891,1477569600000,353606.013471,349722.310627,578.888558291,564.781187937
763.725136533,148.048911048,25.9347147136,15.4038141189,1477656000000,353787.530231,349866.895735,581.434648901,567.253293325
741.084255775,143.425912021,26.7714712128,15.9062294734,1477742400000,334589.602452,330786.716907,586.041014929,571.82047627
731.095625512,141.432804741,26.906577608,15.9877547383,1477828800000,331582.133207,327823.113322,586.475427109,572.255949641
758.627890343,146.952976797,26.6246740192,15.816502007,1477915200000,343264.994306,339468.62661,586.217054102,572.004099301
751.688333442,145.144612567,28.5701506585,16.9768915336,1478001600000,404389.378611,400824.094233,650.827100126,635.241340227
754.917510465,145.698754188,28.1111065169,16.7007961485,1478088000000,385975.784841,382428.932082,635.147037237,619.975545979
763.456068074,147.254813974,29.0125273051,17.2388177193,1478174400000,386498.776714,382875.344297,651.879661286,636.339326153
745.089916554,143.834108749,26.7102583333,15.8621126886,1478260800000,372626.945385,369114.662938,600.984111938,586.605740866
765.213829565,148.080097356,26.6506162912,15.8247485685,1478347200000,373323.552439,369712.469461,597.807099132,583.445656109
